mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	answer	test_x	test_y	test_z	color_b	color_g	color_r	case	font
685622	START	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
686604	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	12	7	2	3	n/a	n/a	n/a	n/a	n/a
688518	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	10	2	3	5	n/a	n/a	n/a	n/a	n/a
690192	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	13	3	9	1	n/a	n/a	n/a	n/a	n/a
691556	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	10	6	1	3	n/a	n/a	n/a	n/a	n/a
693253	STOP	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
694561	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	3	0	THIGH	1457	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
697566	START	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
698731	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	10	2	3	5	n/a	n/a	n/a	n/a	n/a
700389	PROB	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	18	6	7	5	n/a	n/a	n/a	n/a	n/a
705565	STOP	n/a	LTP145	ltpFR	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
707331	REC_START	n/a	LTP145	ltpFR	10	3	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
710005	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	3	0	THIGH	1457	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
711417	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	3	n/a	NAIL	936	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
712943	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	3	0	MOUSE	925	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
726318	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	3	0	HOSE	720	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
786114	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	ELECTRICIAN	521	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
790259	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	VEGETABLE	1552	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
794213	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	AUTHOR	61	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
798142	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	SHEEP	1278	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
802212	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	QUILT	1151	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
806075	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	NEWSPAPER	948	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
810028	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	COLUMN	350	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
814207	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	EMERALD	528	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
818260	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	WRENCH	1625	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
822289	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	CATERPILLAR	259	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
826126	WORD	wordpools/wasnorm_wordpool.txt	LTP145	ltpFR	10	4	1	RIFLE	1192	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
